Id,Дата визита,Пол,UTM Term,Возраст,Визиты,Посетители,Глубина просмотра,Среднее время на сайте_сек,Средний доход покупки_RUB,Добавили в корзину,Количество покупок,Новые посетители, , , , , , , , , , , 
1,2023-11-02,,social,,376,342,2.69,152.00,46934.00,20.00,5.00,309.00,,,,,,,,,,,
2,2023-11-08,,social,,347,324,3.12,153.00,6435.00,12.00,2.00,300.00,,,,,,,,,,,
3,2023-11-05,,social,,319,291,3.05,139.00,0.00,8.00,0.00,265.00,,,,,,,,,,,
4,2023-11-01,,social,,311,283,2.93,120.00,35790.00,17.00,5.00,257.00,,,,,,,,,,,
5,2023-11-06,,social,,298,273,2.81,135.00,10310.00,16.00,2.00,246.00,,,,,,,,,,,
6,2023-11-09,,social,,285,267,3.10,107.00,0.00,6.00,0.00,241.00,,,,,,,,,,,
7,2023-11-03,,social,,271,255,2.84,151.00,40737.50,13.00,4.00,226.00,,,,,,,,,,,
8,2023-11-02,мужской,social,25‑34 года,248,218,2.99,148.00,75348.33,12.00,6.00,131.00,,,,,,,,,,,
9,2023-11-07,,social,,242,228,3.63,167.00,25052.50,11.00,4.00,203.00,,,,,,,,,,,
10,2023-11-10,,social,,242,224,3.44,187.00,15815.00,11.00,2.00,196.00,,,,,,,,,,,
11,2023-11-04,,social,,235,220,3.20,153.00,30110.00,12.00,2.00,200.00,,,,,,,,,,,
12,2023-11-12,,social,,219,205,3.03,157.00,11490.00,11.00,2.00,183.00,,,,,,,,,,,
13,2023-11-09,мужской,social,25‑34 года,207,183,3.29,158.00,45850.00,8.00,2.00,91.00,,,,,,,,,,,
14,2023-11-28,,social,,204,192,3.04,139.00,0.00,6.00,0.00,170.00,,,,,,,,,,,
15,2023-11-11,,social,,202,180,3.59,197.00,66547.50,12.00,4.00,159.00,,,,,,,,,,,
16,2023-11-14,,social,,199,178,3.46,162.00,68775.00,10.00,4.00,160.00,,,,,,,,,,,
17,2023-11-15,,social,,197,184,3.47,153.00,68530.00,7.00,3.00,164.00,,,,,,,,,,,
18,2023-11-27,,social,,196,169,4.41,301.00,50994.00,12.00,5.00,145.00,,,,,,,,,,,
19,2023-11-08,мужской,social,25‑34 года,191,176,3.11,149.00,0.00,7.00,0.00,109.00,,,,,,,,,,,
20,2023-11-25,,social,,190,178,3.03,139.00,90076.67,10.00,3.00,157.00,,,,,,,,,,,
21,2023-11-19,,social,,189,172,3.60,189.00,95185.00,9.00,2.00,158.00,,,,,,,,,,,
22,2023-11-26,,social,,189,175,3.07,126.00,12056.67,9.00,3.00,158.00,,,,,,,,,,,
23,2023-11-02,мужской,social,35‑44 года,186,164,3.02,148.00,50330.00,7.00,1.00,103.00,,,,,,,,,,,
24,2023-11-08,мужской,social,35‑44 года,183,167,2.98,123.00,86407.50,8.00,4.00,98.00,,,,,,,,,,,
25,2023-11-13,,social,,174,154,3.28,138.00,21660.00,4.00,1.00,136.00,,,,,,,,,,,
26,2023-11-17,,social,,174,167,3.59,178.00,28807.50,11.00,4.00,147.00,,,,,,,,,,,
27,2023-11-24,,social,,174,161,2.91,143.00,21470.00,12.00,1.00,147.00,,,,,,,,,,,
28,2023-11-16,,social,,173,159,2.95,117.00,34170.00,5.00,1.00,144.00,,,,,,,,,,,
29,2023-11-03,мужской,social,25‑34 года,170,156,3.32,119.00,26890.00,4.00,1.00,83.00,,,,,,,,,,,
30,2023-11-29,,social,,170,158,2.83,126.00,104830.00,7.00,1.00,140.00,,,,,,,,,,,
31,2023-11-01,мужской,social,25‑34 года,162,149,2.98,135.00,90760.00,2.00,2.00,84.00,,,,,,,,,,,
32,2023-11-30,,social,,156,141,3.56,172.00,36412.50,9.00,4.00,123.00,,,,,,,,,,,
33,2023-11-05,мужской,social,25‑34 года,153,136,3.24,153.00,67613.33,3.00,3.00,72.00,,,,,,,,,,,
34,2023-11-07,мужской,social,25‑34 года,153,129,3.78,155.00,92650.00,3.00,1.00,59.00,,,,,,,,,,,
35,2023-11-18,,social,,152,140,3.27,155.00,0.00,5.00,0.00,126.00,,,,,,,,,,,
36,2023-11-20,,social,,152,144,3.80,175.00,44150.00,10.00,1.00,127.00,,,,,,,,,,,
37,2023-11-09,мужской,social,35‑44 года,148,136,2.94,86.00,144870.00,1.00,1.00,70.00,,,,,,,,,,,
38,2023-11-01,мужской,social,35‑44 года,141,127,3.05,112.00,0.00,6.00,0.00,72.00,,,,,,,,,,,
39,2023-11-06,мужской,social,25‑34 года,141,129,3.45,146.00,84830.00,5.00,2.00,61.00,,,,,,,,,,,
40,2023-11-09,мужской,social,45-54 года,140,113,2.29,90.00,28823.33,5.00,3.00,75.00,,,,,,,,,,,
41,2023-11-04,мужской,social,25‑34 года,136,122,3.95,174.00,38150.00,4.00,1.00,62.00,,,,,,,,,,,
42,2023-11-03,мужской,social,35‑44 года,130,117,2.64,74.00,12060.00,3.00,1.00,62.00,,,,,,,,,,,
43,2023-11-26,мужской,social,25‑34 года,129,111,3.17,166.00,61870.00,6.00,1.00,64.00,,,,,,,,,,,
44,2023-11-07,мужской,social,35‑44 года,128,114,3.70,172.00,75102.50,5.00,4.00,59.00,,,,,,,,,,,
45,2023-11-10,мужской,social,25‑34 года,128,117,3.14,113.00,76860.00,5.00,1.00,56.00,,,,,,,,,,,
46,2023-11-05,мужской,social,35‑44 года,127,109,2.84,135.00,149360.00,5.00,1.00,68.00,,,,,,,,,,,
47,2023-11-15,мужской,social,25‑34 года,125,116,3.17,109.00,83880.00,3.00,1.00,58.00,,,,,,,,,,,
48,2023-11-21,,social,,125,117,4.38,182.00,16980.00,5.00,1.00,103.00,,,,,,,,,,,
49,2023-11-02,мужской,social,18‑24 года,124,111,2.90,158.00,0.00,2.00,0.00,67.00,,,,,,,,,,,
50,2023-11-28,мужской,social,35‑44 года,121,113,3.44,131.00,21150.00,6.00,1.00,63.00,,,,,,,,,,,
51,2023-11-02,мужской,social,45-54 года,118,110,2.30,121.00,18680.00,7.00,1.00,76.00,,,,,,,,,,,
52,2023-11-24,мужской,social,25‑34 года,118,108,3.53,237.00,13680.00,1.00,1.00,55.00,,,,,,,,,,,
